product_id,manufacturer_name,quantity_in_stock,supplier_contact,last_stock_update,price_per_unit,category,location_in_warehouse,reorder_threshold
25,InnoGadgets,830,383-461-6211,5/29/2023,405.93,Home decor,B2,35
26,TechSavvy,102,203-254-8235,1/19/2023,937.04,Clothing,D4,56
27,TechGenius,267,286-816-6343,6/27/2023,553.97,Home decor,A1,19
28,InnoGadgets,813,108-208-7300,02/07/2023,690.37,Electronics,D4,18
29,TechGenius,366,552-106-0524,4/25/2023,951.97,Home decor,D4,47
30,TechSavvy,394,620-575-0667,5/22/2023,509.66,Electronics,C3,92
31,ElectroTech,521,119-248-9323,5/18/2023,27.48,Clothing,D4,21
32,GadgetMaster,489,747-517-0147,02/05/2023,493.28,Clothing,C3,71
33,TechPro,670,645-440-5577,9/24/2023,246.69,Home decor,A1,11
34,ElectroTech,51,693-652-8130,4/13/2023,857.69,Electronics,B2,91
35,TechSavvy,816,198-878-1140,08/02/2023,912.87,Clothing,A1,55
36,SmartTech,9,830-431-1675,4/26/2023,618.87,Electronics,B2,29
37,TechSavvy,803,482-708-6543,8/22/2023,240.88,Electronics,D4,4
38,ElectroTech,550,131-247-9206,02/12/2023,45.75,Electronics,B2,93
39,ElectroTech,776,762-425-6944,9/26/2023,82.46,Home decor,B2,98
40,ElectroWorld,183,958-222-3348,03/11/2023,735.13,Home decor,D4,91
41,ElectroWorld,897,970-405-3289,03/11/2023,113.95,Electronics,C3,41
42,ElecTronix,741,436-447-5007,08/07/2023,120.76,Food,C3,62
43,TechPro,687,888-790-2827,05/07/2023,726.72,Home decor,B2,63
44,GadgetMaster,640,175-828-5713,3/15/2023,294.94,Electronics,C3,99
45,InnoGadgets,703,765-378-2717,3/23/2023,951.8,Electronics,C3,65
46,SmartTech,838,507-903-2036,6/28/2023,644.78,Home decor,D4,17
47,GadgetMaster,21,615-839-7633,01/10/2023,239.13,Electronics,A1,69
48,InnoGadgets,173,155-708-1091,1/16/2023,890.21,Home decor,A1,19
49,ElecTronix,908,690-237-8392,5/30/2023,968.26,Clothing,B2,67
50,GadgetMaster,184,990-886-5204,7/28/2023,934.31,Food,D4,72
51,ElecTronix,246,856-409-7410,7/19/2023,871.66,Electronics,D4,78
52,SmartTech,552,828-942-6359,06/07/2023,180.76,Home decor,A1,25
53,ElecTronix,901,439-429-0922,9/23/2023,675.46,Home decor,D4,9
54,TechGenius,57,933-763-8676,2/17/2023,869.75,Food,A1,13
55,InnoGadgets,634,704-165-5151,2/28/2023,678.45,Electronics,C3,2
56,SmartTech,409,577-950-3007,7/16/2023,871.88,Home decor,A1,65
57,InnoGadgets,441,158-442-8857,7/17/2023,378.96,Food,B2,87
58,DigitalWiz,517,117-393-6008,08/11/2023,626.51,Food,B2,70
59,SmartTech,908,913-170-3581,05/05/2023,553.27,Clothing,B2,16
60,TechGenius,366,846-524-0938,3/19/2023,79.63,Clothing,B2,62
61,ElectroWorld,543,265-278-2664,03/05/2023,800.02,Electronics,C3,16
62,InnoGadgets,988,769-445-7810,2/22/2023,685.13,Home decor,A1,7
63,SmartTech,651,189-759-1773,4/25/2023,560.5,Electronics,B2,82
64,ElectroTech,578,716-567-3126,1/23/2023,565.54,Clothing,A1,4
65,ElectroTech,727,445-560-7053,6/27/2023,501.17,Home decor,B2,59
66,ElectroTech,105,351-797-1921,07/01/2023,666.42,Food,A1,63
67,SmartTech,299,557-380-3665,05/10/2023,333.78,Food,B2,50
68,ElecTronix,32,431-155-2122,3/20/2023,769.94,Clothing,B2,75
69,SmartTech,419,935-617-0339,1/26/2023,557.4,Food,D4,96
70,DigitalWiz,876,208-583-8966,09/02/2023,110.21,Food,D4,63
71,SmartTech,517,782-456-7456,09/03/2023,50.27,Clothing,C3,89
72,TechGenius,749,893-556-6741,1/18/2023,733.68,Electronics,B2,28
73,InnoGadgets,811,475-672-1925,06/09/2023,297.19,Clothing,A1,85
74,TechSavvy,612,835-965-4823,06/11/2023,651.67,Home decor,D4,30
75,InnoGadgets,634,461-666-0782,8/24/2023,796,Home decor,A1,78
76,ElectroTech,268,409-829-9701,1/13/2023,93.54,Food,B2,66
77,DigitalWiz,623,206-577-9835,8/13/2023,793.69,Clothing,B2,98
78,DigitalWiz,124,889-692-4069,8/22/2023,297.67,Home decor,D4,91
79,InnoGadgets,915,799-291-5026,9/25/2023,855.19,Clothing,C3,31
80,InnoGadgets,457,925-308-2798,09/05/2023,654,Electronics,A1,47
81,ElectroWorld,597,721-483-5270,02/12/2023,280.1,Clothing,A1,56
82,SmartTech,691,616-106-9524,9/16/2023,243.82,Home decor,D4,15
83,ElectroWorld,800,632-764-5650,07/12/2023,123.85,Electronics,D4,24
84,GadgetMaster,818,554-142-1203,08/05/2023,660.92,Electronics,C3,28
85,ElectroWorld,322,478-577-9800,04/07/2023,373.59,Electronics,D4,14
86,DigitalWiz,385,246-991-6641,9/30/2023,697.37,Food,B2,29
87,InnoGadgets,722,650-242-7217,01/01/2023,853.42,Food,D4,59
88,ElectroTech,851,926-987-2412,9/30/2023,958.48,Electronics,A1,37
89,TechPro,95,802-824-0814,03/03/2023,800.83,Food,A1,84
90,ElectroWorld,155,107-897-1041,2/16/2023,721.11,Electronics,A1,6
91,TechSavvy,734,774-477-4674,8/27/2023,834.6,Clothing,B2,62
92,ElectroWorld,111,271-608-5672,6/23/2023,524.42,Home decor,B2,62
93,SmartTech,994,737-952-6503,04/08/2023,89.79,Home decor,C3,31
94,TechSavvy,940,808-794-4084,01/10/2023,281.34,Food,C3,96
95,TechPro,582,320-400-0220,2/23/2023,781.19,Food,D4,96
96,ElectroWorld,275,140-148-4808,5/28/2023,251.81,Electronics,A1,37
97,ElectroTech,49,656-419-4416,07/02/2023,125.93,Food,B2,49
98,GadgetMaster,116,122-106-5562,4/20/2023,36.57,Electronics,A1,90
99,DigitalWiz,98,207-613-3219,9/14/2023,160.91,Electronics,B2,33
100,InnoGadgets,243,502-749-5013,6/23/2023,890.83,Clothing,D4,54
